id,full_name,abbreviation,nickname,city,state,year_founded,year_closed
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Georgia,1949,NULL
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946,NULL
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970,NULL
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002,NULL
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966,NULL
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980,NULL
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976,NULL
1610612744,Golden State Warriors,GSW,Warriors,San Francisco,California,1946,NULL
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967,NULL
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970,NULL
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948,NULL
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988,NULL
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968,NULL
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989,NULL
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976,NULL
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946,NULL
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989,NULL
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976,NULL
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949,NULL
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968,NULL
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970,NULL
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948,NULL
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976,NULL
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967,NULL
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995,NULL
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974,NULL
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995,NULL
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961,NULL
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948,NULL
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988,NULL
1610612751,New Jersey Nets,NJN,Nets,East Rutherford,New Jersey,1967,2012
1610612740,New Orleans Hornets,NOH,Hornets,New Orleans,Louisiana,2002,2013
1610612760,Seattle SuperSonics,SEA,SuperSonics,Seattle,Washington,1967,2008
1610612763,Vancouver Grizzlies,VAN,Grizzlies,Vancouver,British Columbia,1995,2001
1610612766,Charlotte Hornets,CHH,Hornets,Charlotte,North Carolina,1988,2002
1610612740,New Orleans/Oklahoma City Hornets,NOK,Hornets,Oklahoma City,Oklahoma,2005,2007
1610612764,Washington Bullets,WSB,Bullets,Washington,District of Columbia,1961,1997
1610612801,Anderson Packers,AND,Packers,Anderson,Indiana,1949,1950
1610612802,Baltimore Bullets,BAL,Bullets,Baltimore,Maryland,1944,1954
1610612803,Baltimore Bullets,BLB,Bullets,Baltimore,Maryland,1963,1973
1610612804,Buffalo Braves,BUF,Braves,Buffalo,New York,1970,1978
1610612805,Capital Bullets,CAP,Bullets,Washington,District of Columbia,1973,1974
1610612806,Chicago Packers,CHP,Packers,Chicago,Illinois,1961,1962
1610612807,Chicago Stags,CHS,Stags,Chicago,Illinois,1946,1950
1610612808,Chicago Zephyrs,CHZ,Zephyrs,Chicago,Illinois,1962,1963
1610612809,Cincinnati Royals,CIN,Royals,Cincinnati,Ohio,1957,1972
1610612810,Denver Nuggets,DNN,Nuggets,Denver,Colorado,1948,1950
1610612811,Fort Wayne Pistons,FTW,Pistons,Fort Wayne,Indiana,1941,1957
1610612812,Indianapolis Olympians,INO,Olympians,Indianapolis,Indiana,1949,1953
1610612813,Kansas City Kings,KCK,Kings,Kansas City,Missouri,1975,1985
1610612814,Kansas City-Omaha Kings,KCO,Kings,Kansas City/Omaha,Missouri/Nebraska,1972,1975
1610612815,Milwaukee Hawks,MLH,Hawks,Milwaukee,Wisconsin,1951,1955
1610612816,Minneapolis Lakers,MNL,Lakers,Minneapolis,Minnesota,1947,1960
1610612817,New Orleans Jazz,NOJ,Jazz,New Orleans,Louisiana,1974,1979
1610612818,New York Nets,NYN,Nets,Uniondale,New York,1972,1977
1610612819,Philadelphia Warriors,PHW,Warriors,Philadelphia,Pennsylvania,1946,1962
1610612820,Rochester Royals,ROC,Royals,Rochester,New York,1945,1957
1610612821,San Diego Clippers,SDC,Clippers,San Diego,California,1978,1984
1610612822,San Diego Rockets,SDR,Rockets,San Diego,California,1967,1971
1610612823,San Francisco Warriors,SFW,Warriors,San Francisco,California,1962,1971
1610612824,Sheboygan Red Skins,SHE,Red Skins,Sheboygan,Wisconsin,1938,1950
1610612825,St. Louis Bombers,STB,Bombers,St. Louis,Missouri,1946,1950
1610612826,St. Louis Hawks,STL,Hawks,St. Louis,Missouri,1955,1968
1610612827,Syracuse Nationals,SYR,Nationals,Syracuse,New York,1946,1963
1610612828,Tri-Cities Blackhawks,TRI,Blackhawks,Moline/Rock Island/Davenport,Illinois/Iowa,1946,1951
1610612829,Waterloo Hawks,WAT,Hawks,Waterloo,Iowa,1948,1950
1610612830,Washington Capitols,WSC,Capitols,Washington,District of Columbia,1946,1951
