GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200004,23,2561,David West,1610612754,Indiana Pacers,1,9,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19.0,103.0,165.0,1,0,20121031,TOR,IND
Shot Chart Detail,0021200004,34,2561,David West,1610612754,Indiana Pacers,1,7,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14.0,-125.0,82.0,1,0,20121031,TOR,IND
Shot Chart Detail,0021200004,205,2561,David West,1610612754,Indiana Pacers,2,5,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-100.0,160.0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,231,2561,David West,1610612754,Indiana Pacers,2,2,11,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8.0,72.0,50.0,1,0,20121031,TOR,IND
Shot Chart Detail,0021200004,235,2561,David West,1610612754,Indiana Pacers,2,1,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12.0,-123.0,-16.0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,282,2561,David West,1610612754,Indiana Pacers,3,10,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,-56.0,41.0,1,0,20121031,TOR,IND
Shot Chart Detail,0021200004,290,2561,David West,1610612754,Indiana Pacers,3,9,57,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,17.0,39.0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,301,2561,David West,1610612754,Indiana Pacers,3,9,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,50.0,36.0,1,0,20121031,TOR,IND
Shot Chart Detail,0021200004,341,2561,David West,1610612754,Indiana Pacers,3,5,57,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8.0,-5.0,80.0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,367,2561,David West,1610612754,Indiana Pacers,3,4,22,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,-57.0,26.0,1,1,20121031,TOR,IND
