GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041600111,408,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23.0,-53.0,224.0,1,1,20170415,CLE,IND
Shot Chart Detail,0041600112,136,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,11,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-22.0,262.0,1,0,20170417,CLE,IND
Shot Chart Detail,0041600112,173,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-166.0,193.0,1,0,20170417,CLE,IND
Shot Chart Detail,0041600112,424,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,9,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-9.0,-1.0,1,1,20170417,CLE,IND
Shot Chart Detail,0041600112,440,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,7,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-168.0,198.0,1,0,20170417,CLE,IND
Shot Chart Detail,0041600113,93,2594,Kyle Korver,1610612739,Cleveland Cavaliers,1,1,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-63.0,247.0,1,0,20170420,IND,CLE
Shot Chart Detail,0041600113,102,2594,Kyle Korver,1610612739,Cleveland Cavaliers,1,1,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17.0,174.0,-6.0,1,0,20170420,IND,CLE
Shot Chart Detail,0041600113,112,2594,Kyle Korver,1610612739,Cleveland Cavaliers,1,0,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-232.0,-16.0,1,1,20170420,IND,CLE
Shot Chart Detail,0041600113,228,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,3,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-7.0,264.0,1,1,20170420,IND,CLE
Shot Chart Detail,0041600113,449,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,9,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-228.0,-11.0,1,1,20170420,IND,CLE
Shot Chart Detail,0041600113,488,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,6,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19.0,-197.0,-24.0,1,0,20170420,IND,CLE
Shot Chart Detail,0041600113,504,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,4,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-233.0,-11.0,1,1,20170420,IND,CLE
Shot Chart Detail,0041600114,116,2594,Kyle Korver,1610612739,Cleveland Cavaliers,1,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,184.0,178.0,1,0,20170423,IND,CLE
Shot Chart Detail,0041600114,195,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,5,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27.0,-84.0,257.0,1,1,20170423,IND,CLE
Shot Chart Detail,0041600114,206,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,4,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,15.0,247.0,1,0,20170423,IND,CLE
Shot Chart Detail,0041600114,427,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,8,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-186.0,193.0,1,0,20170423,IND,CLE
Shot Chart Detail,0041600114,444,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30.0,-205.0,223.0,1,0,20170423,IND,CLE
Shot Chart Detail,0041600211,136,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,10,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24.0,-240.0,2.0,1,0,20170501,CLE,TOR
Shot Chart Detail,0041600211,139,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,10,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27.0,-117.0,252.0,1,1,20170501,CLE,TOR
Shot Chart Detail,0041600211,153,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,9,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,240.0,-6.0,1,0,20170501,CLE,TOR
Shot Chart Detail,0041600211,253,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,0,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-237.0,-1.0,1,1,20170501,CLE,TOR
Shot Chart Detail,0041600211,422,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,10,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16.0,161.0,-24.0,1,0,20170501,CLE,TOR
Shot Chart Detail,0041600212,446,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,10,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29.0,-160.0,247.0,1,1,20170503,CLE,TOR
Shot Chart Detail,0041600212,449,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,10,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-145.0,210.0,1,0,20170503,CLE,TOR
Shot Chart Detail,0041600212,484,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,6,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29.0,168.0,242.0,1,0,20170503,CLE,TOR
Shot Chart Detail,0041600212,514,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,4,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-237.0,-10.0,1,0,20170503,CLE,TOR
Shot Chart Detail,0041600213,256,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,1,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,202.0,144.0,1,1,20170505,TOR,CLE
Shot Chart Detail,0041600213,265,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-181.0,170.0,1,0,20170505,TOR,CLE
Shot Chart Detail,0041600213,381,2594,Kyle Korver,1610612739,Cleveland Cavaliers,3,0,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,238.0,-10.0,1,1,20170505,TOR,CLE
Shot Chart Detail,0041600213,384,2594,Kyle Korver,1610612739,Cleveland Cavaliers,3,0,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-89.0,228.0,1,1,20170505,TOR,CLE
Shot Chart Detail,0041600213,393,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,11,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-196.0,156.0,1,1,20170505,TOR,CLE
Shot Chart Detail,0041600213,471,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,5,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18.0,-22.0,188.0,1,1,20170505,TOR,CLE
Shot Chart Detail,0041600213,473,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,4,28,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23.0,-27.0,237.0,1,0,20170505,TOR,CLE
Shot Chart Detail,0041600214,126,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,10,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,243.0,-5.0,1,0,20170507,TOR,CLE
Shot Chart Detail,0041600214,145,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,8,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-42.0,262.0,1,1,20170507,TOR,CLE
Shot Chart Detail,0041600214,159,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,7,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16.0,163.0,41.0,1,1,20170507,TOR,CLE
Shot Chart Detail,0041600214,185,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,4,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19.0,-120.0,159.0,1,1,20170507,TOR,CLE
Shot Chart Detail,0041600214,193,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,3,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,238.0,-10.0,1,1,20170507,TOR,CLE
Shot Chart Detail,0041600214,218,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,1,35,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-225.0,16.0,1,1,20170507,TOR,CLE
Shot Chart Detail,0041600214,228,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,0,59,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-228.0,-1.0,1,1,20170507,TOR,CLE
Shot Chart Detail,0041600214,237,2594,Kyle Korver,1610612739,Cleveland Cavaliers,2,0,9,Missed Shot,Jump Shot,3PT Field Goal,,,,,,,1,0,20170507,TOR,CLE
Shot Chart Detail,0041600301,378,2594,Kyle Korver,1610612739,Cleveland Cavaliers,3,1,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-235.0,11.0,1,0,20170517,BOS,CLE
Shot Chart Detail,0041600301,385,2594,Kyle Korver,1610612739,Cleveland Cavaliers,3,0,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-228.0,16.0,1,0,20170517,BOS,CLE
Shot Chart Detail,0041600301,402,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,11,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,61.0,247.0,1,1,20170517,BOS,CLE
Shot Chart Detail,0041600301,405,2594,Kyle Korver,1610612739,Cleveland Cavaliers,4,10,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,236.0,13.0,1,0,20170517,BOS,CLE
